"success","failure","stt","reg","eth","inc","age","z.inc","z.incstt","z.trnprv","z.repprv","reg.eth","reg.inc","reg.age","stt.eth","stt.inc","stt.age","eth.inc","eth.age","inc.age","reg.eth.inc","reg.eth.age","reg.inc.age","stt.eth.inc","stt.eth.age","stt.inc.age","eth.inc.age","reg.eth.inc.age","stt.eth.inc.age","year"
4,10,21,1,2,1,1,-0.707020120633347,0.940794060554828,-0.0534956673508133,-0.479257124061854,"1-2","1-1","1-1","21-2","21-1","21-1","2-1","2-1","1-1","1-2-1","1-2-1","1-1-1","21-2-1","21-2-1","21-1-1","2-1-1","1-2-1-1","21-2-1-1",1
1,4,22,1,2,1,1,-0.707020120633347,0.600839214340144,0.386210785331797,-0.772072197447081,"1-2","1-1","1-1","22-2","22-1","22-1","2-1","2-1","1-1","1-2-1","1-2-1","1-1-1","22-2-1","22-2-1","22-1-1","2-1-1","1-2-1-1","22-2-1-1",1
19,14,23,2,2,1,1,-0.707020120633347,-0.00659201235055217,0.319733523354761,-0.205033483907436,"2-2","2-1","2-1","23-2","23-1","23-1","2-1","2-1","1-1","2-2-1","2-2-1","2-1-1","23-2-1","23-2-1","23-1-1","2-1-1","2-2-1-1","23-2-1-1",1
2,1,24,2,2,1,1,-0.707020120633347,0.875332127137666,1.10511498416995,-0.14461132590731,"2-2","2-1","2-1","24-2","24-1","24-1","2-1","2-1","1-1","2-2-1","2-2-1","2-1-1","24-2-1","24-2-1","24-1-1","2-1-1","2-2-1-1","24-2-1-1",1
19,10,25,3,2,1,1,-0.707020120633347,-0.840634101600776,-0.533911393678296,0.315526646555189,"3-2","3-1","3-1","25-2","25-1","25-1","2-1","2-1","1-1","3-2-1","3-2-1","3-1-1","25-2-1","25-2-1","25-1-1","2-1-1","3-2-1-1","25-2-1-1",1
6,3,26,2,2,1,1,-0.707020120633347,-0.0442191307340327,0.16681714106847,-0.00517557667624957,"2-2","2-1","2-1","26-2","26-1","26-1","2-1","2-1","1-1","2-2-1","2-2-1","2-1-1","26-2-1","26-2-1","26-1-1","2-1-1","2-2-1-1","26-2-1-1",1
1,2,28,2,2,1,1,-0.707020120633347,0.00474238601496349,0.142776989448387,0.622285294863521,"2-2","2-1","2-1","28-2","28-1","28-1","2-1","2-1","1-1","2-2-1","2-2-1","2-1-1","28-2-1","28-2-1","28-1-1","2-1-1","2-2-1-1","28-2-1-1",1
0,4,29,4,2,1,1,-0.707020120633347,0.186786702620286,-0.711929240106444,0.00412013993915445,"4-2","4-1","4-1","29-2","29-1","29-1","2-1","2-1","1-1","4-2-1","4-2-1","4-1-1","29-2-1","29-2-1","29-1-1","2-1-1","4-2-1-1","29-2-1-1",1
5,3,31,1,2,1,1,-0.707020120633347,0.941488003311901,0.0796186679149393,-0.465313549138748,"1-2","1-1","1-1","31-2","31-1","31-1","2-1","2-1","1-1","1-2-1","1-2-1","1-1-1","31-2-1","31-2-1","31-1-1","2-1-1","1-2-1-1","31-2-1-1",1
2,0,32,4,2,1,1,-0.707020120633347,-0.537766640514072,-0.522261851005287,-0.0841891679071838,"4-2","4-1","4-1","32-2","32-1","32-1","2-1","2-1","1-1","4-2-1","4-2-1","4-1-1","32-2-1","32-2-1","32-1-1","2-1-1","4-2-1-1","32-2-1-1",1
